name,slug,origin_name_vi,origin_code,logo_url,website_url,brand_type,market_tier,base_trust_score,used_market_risk_modifier,categories,notes
Sunway,sunway,Trung Quốc,CN,/assets/brands/sunway.svg,,CHIP_VENDOR,INDUSTRIAL,58,12,CPU,
Super Flower,super-flower,Đài Loan,TW,/assets/brands/super-flower.svg,,PSU_CASE_COOLING,PREMIUM,88,-8,PSU,
Szmz,szmz,Trung Quốc,CN,/assets/brands/szmz.svg,,BOARD_PARTNER,GRAY_MARKET,38,25,MOTHERBOARD,
TeamGroup,teamgroup,Đài Loan,TW,/assets/brands/teamgroup.svg,,MEMORY_STORAGE,MAINSTREAM,75,0,RAM|STORAGE,
Tecware,tecware,Singapore,SG,/assets/brands/tecware.svg,,CASE_COOLING,MAINSTREAM,75,0,CASE,
Thermalright,thermalright,Đài Loan,TW,/assets/brands/thermalright.svg,,CASE_COOLING,MAINSTREAM,75,0,COOLER,
Thermaltake,thermaltake,Đài Loan,TW,/assets/brands/thermaltake.svg,,PSU_CASE_COOLING,MAINSTREAM,75,0,CASE|PSU|WATER_COOLING,
Toshiba,toshiba,Nhật Bản,JP,/assets/brands/toshiba.svg,,MEMORY_STORAGE,VALUE,62,8,STORAGE,
Transcend,transcend,Đài Loan,TW,/assets/brands/transcend.svg,,MEMORY_STORAGE,VALUE,62,8,STORAGE,
Valkyrie,valkyrie,Trung Quốc,CN,/assets/brands/valkyrie.svg,,CASE_COOLING,GRAY_MARKET,38,25,COOLER,
Vardar,vardar,Slovenia,SI,/assets/brands/vardar.svg,,CASE_COOLING,VALUE,62,8,COOLER,
Vcolor,vcolor,Đài Loan,TW,/assets/brands/vcolor.svg,,MEMORY_STORAGE,VALUE,62,8,RAM,
VSP,vsp,Việt Nam,VN,/assets/brands/vsp.svg,,PSU_CASE_COOLING,GRAY_MARKET,38,25,CASE|COOLER|PSU,
Walram,walram,Trung Quốc,CN,/assets/brands/walram.svg,,MEMORY_STORAGE,GRAY_MARKET,38,25,STORAGE,
Weijinto,weijinto,Trung Quốc,CN,/assets/brands/weijinto.svg,,MEMORY_STORAGE,GRAY_MARKET,38,25,STORAGE,
Western Digital,western-digital,Mỹ,US,/assets/brands/western-digital.svg,,MEMORY_STORAGE,PREMIUM,88,-8,STORAGE,
X99,x99,Trung Quốc,CN,/assets/brands/x99.svg,,BOARD_PARTNER,GRAY_MARKET,38,25,MOTHERBOARD,
XFX,xfx,Mỹ,US,/assets/brands/xfx.svg,,BOARD_PARTNER,MAINSTREAM,75,0,GPU,
Xigmatek,xigmatek,Đài Loan,TW,/assets/brands/xigmatek.svg,,PSU_CASE_COOLING,VALUE,62,8,CASE|COOLER|PSU,
XrayDisk,xraydisk,Trung Quốc,CN,/assets/brands/xraydisk.svg,,MEMORY_STORAGE,GRAY_MARKET,38,25,STORAGE,
Yeston,yeston,Trung Quốc,CN,/assets/brands/yeston.svg,,BOARD_PARTNER,VALUE,62,8,GPU,
Zalman,zalman,Hàn Quốc,KR,/assets/brands/zalman.svg,,CASE_COOLING,MAINSTREAM,75,0,COOLER,
Zhaoxin,zhaoxin,Trung Quốc,CN,/assets/brands/zhaoxin.svg,,CHIP_VENDOR,INDUSTRIAL,58,12,CPU,
Zotac,zotac,Hong Kong,HK,/assets/brands/zotac.svg,,BOARD_PARTNER,MAINSTREAM,75,0,GPU,
