Category,Brand,Model,Origin,Key_Specs,Socket_Slot,Power_Watts
GPU,ASRock,Radeon RX 7600 Challenger D,Đài Loan,8GB GDDR6 | Card Đồ Họa Giá Rẻ Chiến Game,PCIe 4.0 x8,165
GPU,ASRock,Radeon RX 6700 XT Challenger Pro,Đài Loan,12GB GDDR6 | Bản 3 Quạt Cân Game 2K,PCIe 4.0 x16,230
GPU,Colorful,iGame RTX 4060 Ultra W DUO OC,Trung Quốc,8GB GDDR6 | Ép Xung Sẵn Tông Trắng,PCIe 4.0 x8,115
GPU,Colorful,RTX 4060 Ti NB EX V2,Trung Quốc,8GB GDDR6 | Bản Chiến Binh Đen Đỏ Phổ Thông,PCIe 4.0 x8,160
GPU,Colorful,GTX 1650 NB 4GD6,Trung Quốc,4GB GDDR6 | Card Giá Rẻ Lắp Máy Cỏ Học Tập,PCIe 3.0 x16,75
GPU,Galax,RTX 4060 Ti EX RGB,Hong Kong,8GB GDDR6 | Có Đèn LED Đổi Màu Ở Cánh Quạt,PCIe 4.0 x8,160
GPU,Galax,GTX 1660 Super EX,Hong Kong,6GB GDDR6 | Card Cỏ Hiệu Năng Cao Giá Rẻ,PCIe 3.0 x16,125
GPU,Zotac,RTX 4060 Ti Twin Edge OC White,Hong Kong,8GB GDDR6 | Bản Màu Trắng Nhỏ Gọn,PCIe 4.0 x8,160
GPU,Zotac,RTX 3070 Twin Edge,Hong Kong,8GB GDDR6 | Card Cũ Chiến Game Khỏe Giá Mềm,PCIe 4.0 x16,220
GPU,Zotac,GTX 750 Ti 2GB,Hong Kong,2GB GDDR5 | Card Nồi Đồng Cối Đá Cho Máy Cỏ,PCIe 3.0 x16,60
GPU,Sapphire,Nitro+ RX 7800 XT,Hong Kong,16GB GDDR6 | Bản Tản Nhiệt Cao Cấp Đèn LED Chạy,PCIe 4.0 x16,270
GPU,Sapphire,Pulse RX 6700 XT,Hong Kong,12GB GDDR6 | Bản 2 Quạt Linh Hồn Đỏ Gaming Cũ,PCIe 4.0 x16,230
GPU,Sapphire,Nitro+ RX 580 8GB,Hong Kong,8GB GDDR5 | Huyền Thoại Trâu Cày LED Xanh Cũ,PCIe 3.0 x16,185
GPU,XFX,Speedster QICK 319 RX 7800 XT,Mỹ,16GB GDDR6 | Bản 3 Quạt Dài Đen Nhám Ngầu,PCIe 4.0 x16,263
GPU,XFX,Speedster SWFT 210 RX 6650 XT,Mỹ,8GB GDDR6 | Bản Nâng Cấp RX 6600 Giá Hạt Dẻ,PCIe 4.0 x8,176
GPU,PowerColor,Red Devil RX 7800 XT,Đài Loan,16GB GDDR6 | Bản Hầm Hố Thiết Kế Quỷ Đỏ,PCIe 4.0 x16,280
GPU,PowerColor,Fighter RX 6600,Đài Loan,8GB GDDR6 | Card Chuyên Trị Game Nét Giá Rẻ Cũ,PCIe 4.0 x8,132
GPU,Palit,RTX 4070 Dual,Đài Loan,12GB GDDR6X | Bản 2 Quạt Nhỏ Gọn Đậm Chất Âu Mỹ,PCIe 4.0 x16,200
GPU,Gainward,RTX 4060 Ghost,Đài Loan,8GB GDDR6 | Bản Giá Rẻ Không Đèn Linh Kiện Bền,PCIe 4.0 x8,115
GPU,Inno3D,RTX 4060 Ti Twin X2 OC White,Hong Kong,8GB GDDR6 | Bản Trắng Giá Rẻ Toàn Diện,PCIe 4.0 x8,160
GPU,Inno3D,GTX 1060 Twin X2,Hong Kong,3GB GDDR5 | Phiên Bản Cắt Giảm VRAM Máy Cỏ Cũ,PCIe 3.0 x16,120
GPU,Peladn,RTX 2060 Super Dual,Trung Quốc,8GB GDDR6 | Card Nội Địa Cũ Giá Rẻ Chống Cháy,PCIe 3.0 x16,175
GPU,AISURIX,RX 470 4GB,Trung Quốc,4GB GDDR5 | Card Siêu Cỏ Cho Học Sinh Sinh Viên,PCIe 3.0 x16,120
GPU,MLLSE,GTX 750 Ti 2GB,Trung Quốc,2GB GDDR5 | Card Cỏ Bán Rẻ Trên Các Sàn TMĐT,PCIe 3.0 x16,60
RAM,Corsair,Vengeance LPX 32GB,Mỹ,2x16GB | DDR4 | 3200MHz | Ram Tản Đen Tối Giản Cũ,DDR4 Slot,4
RAM,Corsair,Dominator Platinum RGB 16GB,Mỹ,2x8GB | DDR4 | 3200MHz | Dòng Khối Cao Cấp Cũ,DDR4 Slot,4
RAM,Corsair,Vengeance RGB DDR5 64GB,Mỹ,2x32GB | DDR5 | 6000MHz | Dung Lượng Khủng Làm Việc,DDR5 Slot,6
RAM,G.Skill,Trident Z5 RGB 64GB,Đài Loan,2x32GB | DDR5 | 6400MHz | Bus Cao Đa Nhiệm Mượt,DDR5 Slot,6
RAM,G.Skill,Trident Z RGB 32GB,Đài Loan,2x16GB | DDR4 | 3600MHz | Ram Gaming DDR4 Cao Cấp,DDR4 Slot,4
RAM,G.Skill,Ripjaws V 16GB,Đài Loan,2x8GB | DDR4 | 3200MHz | Tản Thép Đỏ Răng Cưa Cũ,DDR4 Slot,3
RAM,G.Skill,Aegis 16GB,Đài Loan,1x16GB | DDR4 | 3200MHz | Ram Cỏ Dán Nhãn Tiết Kiệm,DDR4 Slot,3
RAM,Kingston,FURY Beast RGB 32GB,Mỹ,2x16GB | DDR5 | 6000MHz | Ram Quốc Dân Đèn Đẹp,DDR5 Slot,5
RAM,Kingston,FURY Beast 16GB,Mỹ,2x8GB | DDR4 | 3200MHz | Bản Tản Đen DDR4 Bán Chạy,DDR4 Slot,3
RAM,Kingston,KVR DDR3 8GB,Mỹ,1x8GB | DDR3 | 1600MHz | Thanh RAM Trần Huyền Thoại Máy Cỏ,DDR3 Slot,3
RAM,Kingston,KVR DDR4 8GB,Mỹ,1x8GB | DDR4 | 2400MHz | Ram Máy Văn Phòng Xanh Cũ,DDR4 Slot,3
RAM,TeamGroup,T-Force Delta RGB 16GB,Đài Loan,2x8GB | DDR4 | 3200MHz | Đèn LED Trải Dài Đẹp,DDR4 Slot,4
RAM,TeamGroup,T-Force Vulcan Z 8GB,Đài Loan,1x8GB | DDR4 | 3200MHz | Tản Nhôm Xám Giá Rẻ,DDR4 Slot,3
RAM,ADATA,XPG Spectrix D41 RGB 16GB,Đài Loan,2x8GB | DDR4 | 3200MHz | Thiết Kế Đỏ Đun Bắt Mắt,DDR4 Slot,4
RAM,ADATA,Premier 8GB,Đài Loan,1x8GB | DDR4 | 3200MHz | Ram Trần Giá Rẻ Lắp Máy Văn Phòng,DDR4 Slot,3
RAM,Crucial,Pro DDR4 32GB,Mỹ,2x16GB | DDR4 | 3200MHz | Tản Nhôm Đen Tối Giản Mới,DDR4 Slot,4
RAM,Crucial,CT8G4DFS824A 8GB,Mỹ,1x8GB | DDR4 | 2400MHz | Ram Trần Bền Bỉ Cho Máy Cỏ,DDR4 Slot,3
RAM,Patriot,Viper Steel RGB 16GB,Mỹ,2x8GB | DDR4 | 3600MHz | Tản Thép Đen Có Đèn Đẹp,DDR4 Slot,4
RAM,Lexar,Thor OC DDR5 32GB,Mỹ,2x16GB | DDR5 | 6000MHz | Bản Tản Nhôm Không LED Giá Tốt,DDR5 Slot,5
RAM,Kingmax,DDR4 Heatsink 16GB,Đài Loan,1x16GB | DDR4 | 3200MHz | Thanh Đơn Tiết Kiệm Khe,DDR4 Slot,3
RAM,Hiksemi,Armor DDR4 16GB,Trung Quốc,1x16GB | DDR4 | 3200MHz | Ram Cỏ Giá Tốt Lắp Máy,DDR4 Slot,3
RAM,Netac,Shadow 8GB,Trung Quốc,1x8GB | DDR4 | 3200MHz | Tản Thép Ngựa Chiến Giá Rẻ,DDR4 Slot,3
RAM,Juhor,Slayer RGB DDR5 32GB,Trung Quốc,2x16GB | DDR5 | 6000MHz | Tản Trắng In Hình Anime,DDR5 Slot,5
RAM,Asgard,Freyr T3 16GB,Trung Quốc,2x8GB | DDR4 | 3200MHz | Tản Thép Bạc Sang Trọng Nội Địa,DDR4 Slot,4
RAM,Klevv,Cras X RGB 16GB,Hàn Quốc,2x8GB | DDR4 | 3200MHz | Ram Led Dày Đẹp Thương Hiệu Hàn,DDR4 Slot,4
RAM,Kingmax,DDR3 Nano Gaming 4GB,Đài Loan,1x4GB | DDR3 | 1600MHz | Công Nghệ Tản Nano Không Vỏ,DDR3 Slot,2
Storage,Samsung,980 PRO 1TB,Hàn Quốc,NVMe PCIe Gen 4.0 | Ổ Cứng Cao Cấp Khét Tiếng Đời Trước,M.2 NVMe Slot,7
Storage,Samsung,990 PRO 1TB,Hàn Quốc,NVMe PCIe Gen 4.0 | Tốc Độ Đầu Bảng Game Thủ,M.2 NVMe Slot,7
Storage,Samsung,970 EVO Plus 250GB,Hàn Quốc,NVMe PCIe Gen 3.0 | Dung Lượng Thấp Cài Win Cũ,M.2 NVMe Slot,5
Storage,Samsung,870 QVO 1TB,Hàn Quốc,SSD 2.5 inch SATA 3 | Sử Dụng Chip Nhớ QLC Lưu Trữ,SATA 3 Port,4
Storage,Western Digital,WD_BLACK SN770 1TB,Mỹ,NVMe PCIe Gen 4.0 | SSD Gaming Tầm Trung Cực Ngon,M.2 NVMe Slot,5
Storage,Western Digital,WD Blue SN580 500GB,Mỹ,NVMe PCIe Gen 4.0 | Bản Dung Lượng Vừa Phải,M.2 NVMe Slot,4
Storage,Western Digital,WD Green SATA III 240GB,Mỹ,SSD 2.5 inch | Ổ Cỏ Nâng Cấp PC Văn Phòng,SATA 3 Port,3
Storage,Western Digital,WD Blue 2TB HDD,Mỹ,Ổ Cứng Cơ 3.5 inch | Lưu Trữ Dữ Liệu Quốc Dân,SATA 3 Port,6
Storage,Western Digital,WD Red Plus 4TB HDD,Mỹ,Ổ Cứng Cơ Chuyên Cho Hệ Thống Lưu Trữ NAS,SATA 3 Port,8
Storage,SanDisk,SSD Plus 240GB,Mỹ,SSD 2.5 inch SATA 3 | Ổ Cỏ Độ Bền Cao Vỏ Nhựa,SATA 3 Port,3
Storage,SanDisk,Ultra M.2 NVMe 500GB,Mỹ,NVMe PCIe Gen 3.0 | Tốc Độ Ổn Định Thương Hiệu Mỹ,M.2 NVMe Slot,5
Storage,Kingston,KC3000 2TB,Mỹ,NVMe PCIe Gen 4.0 | Dung Lượng Lớn Cho Máy Đồ Họa Khủng,M.2 NVMe Slot,8
Storage,Kingston,A400 480GB,Mỹ,SSD 2.5 inch SATA 3 | Ổ Cứng Nâng Cấp Máy Cỏ Cực Hot,SATA 3 Port,3
Storage,Kingston,NV2 1TB,Mỹ,NVMe PCIe Gen 4.0 | Vua Phá Giá NVMe Hàng Chính Hãng,M.2 NVMe Slot,5
Storage,Crucial,P3 Plus 1TB,Mỹ,NVMe PCIe Gen 4.0 | Tốc Độ Tốt Giá Dễ Tiếp Cận,M.2 NVMe Slot,5
Storage,Crucial,BX500 240GB,Mỹ,SSD 2.5 inch SATA 3 | Ổ Chống Cháy Cho Máy Siêu Cỏ,SATA 3 Port,3
Storage,Lexar,NM710 500GB,Mỹ,NVMe PCIe Gen 4.0 | Tốc Độ Tầm Trung Giá Mềm Mới,M.2 NVMe Slot,4
Storage,Lexar,NM790 1TB,Mỹ,NVMe PCIe Gen 4.0 | Hiệu Năng Đỉnh Cao Giá Mềm Nhất,M.2 NVMe Slot,6
Storage,Lexar,NS100 256GB,Mỹ,SSD 2.5 inch SATA 3 | Ổ Cỏ Cứu Cánh Cho Máy Đời Tống,SATA 3 Port,3
Storage,Seagate,Barracuda 1TB HDD,Mỹ,Ổ Cứng Cơ 3.5 inch | Ổ Cứng Lưu Trữ Cơ Bản Nhất,SATA 3 Port,6
Storage,Seagate,IronWolf 4TB HDD,Mỹ,Ổ Cơ Chuyên Dụng Chạy Trâu Bò Lưu Trữ Đêm Ngày,SATA 3 Port,8
Storage,Kioxia,Exceria G2 2TB,Nhật Bản,NVMe PCIe Gen 3.0 | Bản Dung Lượng Lớn P/P Thần Thánh,M.2 NVMe Slot,6
Storage,ADATA,SU650 240GB,Đài Loan,SSD 2.5 inch SATA 3 | Tản Nhiệt Nhãn Dán Giá Rẻ,SATA 3 Port,3
Storage,TeamGroup,CX2 512GB,Đài Loan,SSD 2.5 inch SATA 3 | Ổ Cứng Thường Thấy Ở Máy Gaming Cỏ,SATA 3 Port,3
Storage,Silicon Power,Slim S55 120GB,Đài Loan,SSD 2.5 inch | Ổ Dung Lượng Thấp Lắp Máy Văn Phòng,SATA 3 Port,3
Storage,Hiksemi,Future 2TB,Trung Quốc,NVMe PCIe Gen 4.0 | Quái Vật Tốc Cao Giá Rẻ Nội Địa,M.2 NVMe Slot,7
Storage,Netac,N535S 480GB,Trung Quốc,SSD 2.5 inch SATA | Ổ Cứng Phổ Thông Phân Khúc Rẻ,SATA 3 Port,3
Storage,Fanxiang,S101 256GB,Trung Quốc,SSD 2.5 inch SATA | Vỏ Nhựa Họa Tiết Đỏ Đen Sàn TMĐT,SATA 3 Port,3
Storage,Kingspec,NVMe 256GB,Trung Quốc,NVMe PCIe Gen 3.0 | Ổ Khởi Động Giá Rẻ Khe M.2,M.2 NVMe Slot,4
Storage,Somnambulist,SATA III 480GB,Trung Quốc,SSD 2.5 inch | Vua Ổ Cỏ Lưu Game Giá Rẻ,SATA 3 Port,3
Storage,XrayDisk,NVMe 1TB,Trung Quốc,NVMe PCIe Gen 3.0 | Ổ Cứng M.2 Rẻ Nhất Thị Trường,M.2 NVMe Slot,5
Storage,Walram,SATA III 240GB,Trung Quốc,SSD 2.5 inch | Ổ Cỏ Xuất Hiện Nhiều Ở Máy Cũ Shopee,SATA 3 Port,3
Storage,Kingmax,SMV32 240GB,Đài Loan,SSD 2.5 inch SATA 3 | Ổ Cứng Bền Bỉ Phân Khúc Cỏ,SATA 3 Port,3
Storage,Toshiba,P300 1TB HDD,Nhật Bản,Ổ Cứng Cơ 3.5 inch | Chạy Êm Bền Bỉ Đọc Ghi Tốt,SATA 3 Port,6
Mainboard,ASUS,TUF GAMING B650M-PLUS WIFI,Đài Loan,Chipset B650 | M-ATX | Bo Mạch Quốc Dân AM5,AM5 (DDR5),0
Mainboard,ASUS,PRIME B760M-K D4,Đài Loan,Chipset B760 | M-ATX | Chạy RAM DDR4 Tiết Kiệm,LGA1700 (DDR4),0
Mainboard,ASUS,H81M-K,Đài Loan,Chipset H81 | M-ATX | Huyền Thoại Chạy Chip Intel Gen 4 Cỏ,LGA1150 (DDR3),0
Mainboard,MSI,MAG B760M MORTAR WIFI,Đài Loan,Chipset B760 | M-ATX | Linh Kiện Dày Dặn Cao Cấp,LGA1700 (DDR5),0
Mainboard,MSI,B450M MORTAR MAX,Đài Loan,Chipset B450 | M-ATX | Bo Mạch Chạy Ryzen Đời Cũ Cực Ngon,AM4 (DDR4),0
Mainboard,MSI,H61M-P31,Đài Loan,Chipset H61 | M-ATX | Sân Chơi Của Các Chip Intel Gen 2/3 Cỏ,LGA1155 (DDR3),0
Mainboard,GIGABYTE,B760M AORUS ELITE AX,Đài Loan,Chipset B760 | M-ATX | Bản Có Wifi Cạnh Tranh Cao,LGA1700 (DDR5),0
Mainboard,GIGABYTE,H510M K V2,Đài Loan,Chipset H510 | M-ATX | Mainboard Cho Intel Gen 10/11 Cỏ,LGA1200 (DDR4),0
Mainboard,GIGABYTE,H81M-DS2,Đài Loan,Chipset H81 | M-ATX | Main Cỏ Quốc Dân Sửa Máy Quán Nét,LGA1150 (DDR3),0
Mainboard,ASRock,B760M Pro RS/D4,Đài Loan,Chipset B760 | M-ATX | Bản Trắng Chạy RAM DDR4 Rẻ,LGA1700 (DDR4),0
Mainboard,ASRock,H410M-HDV,Đài Loan,Chipset H410 | M-ATX | Lắp Cấu Hình Máy Văn Phòng Giá Rẻ,LGA1200 (DDR4),0
Mainboard,Huananzhi,X99-T8,Trung Quốc,Chipset X99 | ATX | Thiết Kế 8 Khe Cắm RAM DDR3 Độc Lạ,LGA2011-3 (DDR3),0
Mainboard,Huananzhi,X79 Luxury,Trung Quốc,Chipset X79 | ATX | Chạy Các Dòng CPU Xeon E5 V1/V2 Siêu Cỏ,LGA2011,0
Mainboard,Machinist,X99 MR9A PRO,Trung Quốc,Chipset X99 | ATX | Bản Có Giáp Hầm Hố Chạy Xeon D4,LGA2011-3 (DDR4),0
Mainboard,Soyo,Classic H610M,Trung Quốc,Chipset H610 | M-ATX | Mainboard Nội Địa Giá Rẻ Nhất,LGA1700 (DDR4),0
Mainboard,Onda,H81 V+ Smart,Trung Quốc,Chipset H81 | M-ATX | Hàng OEM Chống Cháy Giá Vài Trăm Ngàn,LGA1150 (DDR3),0
Cooling,Thermalright,Phantom Spirit 120 SE,Đài Loan,Tản Tháp Đôi 7 Ống Đồng | Vua Hiệu Năng Phá Giá,CPU Fan Header,5
Cooling,Thermalright,Assassin X 120 R SE White,Đài Loan,Tản Tháp Đơn Màu Trắng Tuyết Led Đẹp,CPU Fan Header,3
Cooling,Deepcool,AK620 Digital,Trung Quốc,Tản Tháp Đôi Có Màn Hình Số Hiển Thị Nhiệt Realtime,CPU Fan Header,5
Cooling,Deepcool,AG620 ARGB,Trung Quốc,Tản Khí Tháp Đôi Hiệu Năng Cao Giá Tốt Có LED,CPU Fan Header,5
Cooling,ID-Cooling,SE-214-XT Pro,Trung Quốc,Bản Nâng Cấp Quạt Không LED Trơn Lắp Máy Êm,CPU Fan Header,3
Cooling,ID-Cooling,Zoomflow 360 XT,Trung Quốc,Tản Nước AIO 360mm Phá Giá Cân CPU Khủng,CPU Fan Header,14
Cooling,Jonsbo,CR-1000 GT,Trung Quốc,Bản Điều Khiển Được Đèn LED Qua Mainboard Nhập Môn,CPU Fan Header,3
Cooling,Noctua,NH-D15 gen 2,Áo,Vua Tản Khí Đời Mới | Thiết Kế Cánh Quạt Tối Ưu Siêu Đắt,CPU Fan Header,6
Cooling,be quiet!,Dark Rock Pro 5,Đức,Tản Khí Tháp Đôi Cao Cấp Không Đèn Siêu Cách Âm,CPU Fan Header,5
Cooling,Arctic,Liquid Freezer III 240,Đức,Tản Nước AIO 240mm Tháp Dày Cực Kỳ Bền Bỉ,CPU Fan Header,10
Cooling,VSP,V200 Plus,Việt Nam,Tản Khí Dạng Đĩa Bay Giá Rẻ Cho Máy Cỏ Văn Phòng,CPU Fan Header,2
Cooling,Xigmatek,Air Killer Pro RGB,Đài Loan,Tản Khí 4 Ống Đồng Thiết Kế Mặt Trên Che Ống Xấu,CPU Fan Header,3
PSU,Corsair,RM750e ATX 3.0,Mỹ,750W | 80 Plus Gold | Chuẩn Nguồn Modul Nhỏ Gọn Đời Mới,ATX Frame,750
PSU,Corsair,CV650,Mỹ,650W | 80 Plus Bronze | Nguồn Quốc Dân Đi Với Card Tầm Trung Cũ,ATX Frame,650
PSU,Seasonic,B12 BC-550,Đài Loan,550W | 80 Plus Bronze | Bộ Nguồn Đáng Tin Cậy Máy Gaming Rẻ,ATX Frame,550
PSU,MSI,MAG A550BN,Đài Loan,550W | 80 Plus Bronze | Lựa Chọn Phổ Biến Cho Máy i5 + 1660S,ATX Frame,550
PSU,Xigmatek,X-Power III 550,Đài Loan,550W | Nguồn Chống Cháy Giá Rẻ Đi Cấu Hình Cỏ,ATX Frame,550
PSU,Antec,Atom V450,Mỹ,450W | Nguồn Cỏ Chạy Máy Văn Phòng Chip Intel Không Card,ATX Frame,450
PSU,Segotep,AN550,Trung Quốc,550W | Bộ Nguồn Nội Địa Giá Rẻ Được Các Shop Chuộng Lắp,ATX Frame,550
PSU,Jetek,Star ST450,Việt Nam,450W | Nguồn Cỏ Nội Địa Lắp Máy Học Tập Học Sinh,ATX Frame,450
PSU,Aigo,VK550,Trung Quốc,550W | Nguồn Giá Rẻ Phổ Thông Bán Nhiều Trên Mạng,ATX Frame,550
Case,Xigmatek,NYX Air 3F,Đài Loan,Vỏ Nhỏ Gọn Mặt Lưới Thoáng Kèm Sẵn 3 Quạt LED,Micro-ATX Form,0
Case,VSP,V210 Black,Việt Nam,Vỏ Case Cỏ Giá Hơn Hai Trăm Ngàn Lắp Máy Tiết Kiệm,Micro-ATX Form,0
Case,Sama,Esport 2,Trung Quốc,Vỏ Case Thép Dày Mặt Kính Phổ Biến Phân Khúc Rẻ Cũ,Micro-ATX Form,0
Case,Montech,Air 100 Lite,Đài Loan,Vỏ Case M-ATX Tông Trắng Thiết Kế Đơn Giản Lưới Đẹp,Micro-ATX Form,0
