category_original,category,brand,brand_slug,model,name,product_slug,chip_vendor_slug,origin_name_vi,origin_code,key_specs,socket_slot,power_watts,source_name,source_url,data_confidence,msrp_vnd,base_local_price_vnd,base_used_price_vnd,supplier_cost_vnd,base_performance_score,base_power_watts,base_heat_score,base_reliability_score,used_demand_score,mining_popularity_score,depreciation_rate,real_specs_json,game_balance_json,image_url,notes
CPU,CPU,Zhaoxin,zhaoxin,KaiXian KX-7000,Zhaoxin KaiXian KX-7000,zhaoxin-kaixian-kx-7000,zhaoxin,Trung Quốc,CN,8 Cores 8 Threads | Up to 3.3GHz (Tương thích x86),HJJ,75,Manual curated sheet,,MANUAL,,,,,65,75,57,70,55,0,8,"{""raw_key_specs"":""8 Cores 8 Threads | Up to 3.3GHz (Tương thích x86)"",""socket_slot"":""HJJ"",""power_watts"":75,""cores"":8,""threads"":8,""boost_clock_ghz"":3.3,""socket"":""HJJ""}","{""base_performance_score"":65,""base_power_watts"":75,""base_heat_score"":57,""base_reliability_score"":70,""used_demand_score"":55,""mining_popularity_score"":0,""depreciation_rate"":8}",,
GPU,GPU,NVIDIA,nvidia,GeForce RTX 5090 Founders Edition,NVIDIA GeForce RTX 5090 Founders Edition,nvidia-geforce-rtx-5090-founders-edition,nvidia,Mỹ,US,32GB GDDR7 | 512-bit | DLSS 4.0,PCIe 5.0 x16,600,Manual curated sheet,,MANUAL,,,,,100,600,98,88,95,65,8,"{""raw_key_specs"":""32GB GDDR7 | 512-bit | DLSS 4.0"",""socket_slot"":""PCIe 5.0 x16"",""power_watts"":600,""vram_gb"":32,""memory_type"":""GDDR7"",""memory_bus_bit"":512,""upscaling_tech"":""DLSS"",""slot_interface"":""PCIe 5.0 x16""}","{""base_performance_score"":100,""base_power_watts"":600,""base_heat_score"":98,""base_reliability_score"":88,""used_demand_score"":95,""mining_popularity_score"":65,""depreciation_rate"":8}",,
GPU,GPU,NVIDIA,nvidia,GeForce RTX 5080 Founders Edition,NVIDIA GeForce RTX 5080 Founders Edition,nvidia-geforce-rtx-5080-founders-edition,nvidia,Mỹ,US,16GB GDDR7 | 256-bit,PCIe 5.0 x16,400,Manual curated sheet,,MANUAL,,,,,95,400,85,88,88,60,8,"{""raw_key_specs"":""16GB GDDR7 | 256-bit"",""socket_slot"":""PCIe 5.0 x16"",""power_watts"":400,""vram_gb"":16,""memory_type"":""GDDR7"",""memory_bus_bit"":256,""slot_interface"":""PCIe 5.0 x16""}","{""base_performance_score"":95,""base_power_watts"":400,""base_heat_score"":85,""base_reliability_score"":88,""used_demand_score"":88,""mining_popularity_score"":60,""depreciation_rate"":8}",,
GPU,GPU,NVIDIA,nvidia,GeForce RTX 4060 Ti,NVIDIA GeForce RTX 4060 Ti,nvidia-geforce-rtx-4060-ti,nvidia,Mỹ,US,8GB GDDR6 | 128-bit | DLSS 3.0,PCIe 4.0 x8,160,Manual curated sheet,,MANUAL,,,,,65,160,45,88,75,35,8,"{""raw_key_specs"":""8GB GDDR6 | 128-bit | DLSS 3.0"",""socket_slot"":""PCIe 4.0 x8"",""power_watts"":160,""vram_gb"":8,""memory_type"":""GDDR6"",""memory_bus_bit"":128,""upscaling_tech"":""DLSS"",""slot_interface"":""PCIe 4.0 x8""}","{""base_performance_score"":65,""base_power_watts"":160,""base_heat_score"":45,""base_reliability_score"":88,""used_demand_score"":75,""mining_popularity_score"":35,""depreciation_rate"":8}",,
GPU,GPU,AMD,amd,Radeon RX 7900 XTX,AMD Radeon RX 7900 XTX,amd-radeon-rx-7900-xtx,amd,Mỹ,US,24GB GDDR6 | 384-bit | FSR 3.0,PCIe 4.0 x16,355,Manual curated sheet,,MANUAL,,,,,92,355,82,88,84,55,8,"{""raw_key_specs"":""24GB GDDR6 | 384-bit | FSR 3.0"",""socket_slot"":""PCIe 4.0 x16"",""power_watts"":355,""vram_gb"":24,""memory_type"":""GDDR6"",""memory_bus_bit"":384,""upscaling_tech"":""FSR"",""slot_interface"":""PCIe 4.0 x16""}","{""base_performance_score"":92,""base_power_watts"":355,""base_heat_score"":82,""base_reliability_score"":88,""used_demand_score"":84,""mining_popularity_score"":55,""depreciation_rate"":8}",,
GPU,GPU,Intel,intel,Arc A770 Limited Edition,Intel Arc A770 Limited Edition,intel-arc-a770-limited-edition,intel,Mỹ,US,16GB GDDR6 | 256-bit | XeSS,PCIe 4.0 x16,225,Manual curated sheet,,MANUAL,,,,,56,225,60,88,55,20,8,"{""raw_key_specs"":""16GB GDDR6 | 256-bit | XeSS"",""socket_slot"":""PCIe 4.0 x16"",""power_watts"":225,""vram_gb"":16,""memory_type"":""GDDR6"",""memory_bus_bit"":256,""upscaling_tech"":""XeSS"",""slot_interface"":""PCIe 4.0 x16""}","{""base_performance_score"":56,""base_power_watts"":225,""base_heat_score"":60,""base_reliability_score"":88,""used_demand_score"":55,""mining_popularity_score"":20,""depreciation_rate"":8}",,
GPU,GPU,ASUS,asus,ROG Strix RTX 5090 OC,ASUS ROG Strix RTX 5090 OC,asus-rog-strix-rtx-5090-oc,nvidia,Đài Loan,TW,32GB GDDR7 | Bản Custom 3 Quạt Hầm Hố RGB,PCIe 5.0 x16,650,Manual curated sheet,,MANUAL,,,,,100,650,98,88,95,65,8,"{""raw_key_specs"":""32GB GDDR7 | Bản Custom 3 Quạt Hầm Hố RGB"",""socket_slot"":""PCIe 5.0 x16"",""power_watts"":650,""vram_gb"":32,""memory_type"":""GDDR7"",""slot_interface"":""PCIe 5.0 x16""}","{""base_performance_score"":100,""base_power_watts"":650,""base_heat_score"":98,""base_reliability_score"":88,""used_demand_score"":95,""mining_popularity_score"":65,""depreciation_rate"":8}",,
GPU,GPU,MSI,msi,RTX 5080 SUPRIM X,MSI RTX 5080 SUPRIM X,msi-rtx-5080-suprim-x,nvidia,Đài Loan,TW,16GB GDDR7 | Vỏ Nhôm Phay Xước Sang Trọng,PCIe 5.0 x16,420,Manual curated sheet,,MANUAL,,,,,95,420,85,88,88,60,8,"{""raw_key_specs"":""16GB GDDR7 | Vỏ Nhôm Phay Xước Sang Trọng"",""socket_slot"":""PCIe 5.0 x16"",""power_watts"":420,""vram_gb"":16,""memory_type"":""GDDR7"",""slot_interface"":""PCIe 5.0 x16""}","{""base_performance_score"":95,""base_power_watts"":420,""base_heat_score"":85,""base_reliability_score"":88,""used_demand_score"":88,""mining_popularity_score"":60,""depreciation_rate"":8}",,
GPU,GPU,GIGABYTE,gigabyte,AORUS RTX 4070 Ti SUPER Master,GIGABYTE AORUS RTX 4070 Ti SUPER Master,gigabyte-aorus-rtx-4070-ti-super-master,nvidia,Đài Loan,TW,16GB GDDR6X | Tích hợp màn hình LCD mini,PCIe 4.0 x16,285,Manual curated sheet,,MANUAL,,,,,86,285,68,88,82,45,8,"{""raw_key_specs"":""16GB GDDR6X | Tích hợp màn hình LCD mini"",""socket_slot"":""PCIe 4.0 x16"",""power_watts"":285,""vram_gb"":16,""memory_type"":""GDDR6X"",""slot_interface"":""PCIe 4.0 x16""}","{""base_performance_score"":86,""base_power_watts"":285,""base_heat_score"":68,""base_reliability_score"":88,""used_demand_score"":82,""mining_popularity_score"":45,""depreciation_rate"":8}",,
GPU,GPU,Colorful,colorful,iGame RTX 5070 Vulcan OC,Colorful iGame RTX 5070 Vulcan OC,colorful-igame-rtx-5070-vulcan-oc,nvidia,Trung Quốc,CN,12GB GDDR7 | Màn hình LCD lật tháo rời được,PCIe 5.0 x16,250,Manual curated sheet,,MANUAL,,,,,82,250,65,78,80,48,8,"{""raw_key_specs"":""12GB GDDR7 | Màn hình LCD lật tháo rời được"",""socket_slot"":""PCIe 5.0 x16"",""power_watts"":250,""vram_gb"":12,""memory_type"":""GDDR7"",""slot_interface"":""PCIe 5.0 x16""}","{""base_performance_score"":82,""base_power_watts"":250,""base_heat_score"":65,""base_reliability_score"":78,""used_demand_score"":80,""mining_popularity_score"":48,""depreciation_rate"":8}",,
GPU,GPU,Yeston,yeston,RTX 4060 Sakura Sugar,Yeston RTX 4060 Sakura Sugar,yeston-rtx-4060-sakura-sugar,nvidia,Trung Quốc,CN,8GB GDDR6 | Thiết kế Waifu Hoa Anh Đào Hồng,PCIe 4.0 x8,115,Manual curated sheet,,MANUAL,,,,,58,115,35,78,78,25,8,"{""raw_key_specs"":""8GB GDDR6 | Thiết kế Waifu Hoa Anh Đào Hồng"",""socket_slot"":""PCIe 4.0 x8"",""power_watts"":115,""vram_gb"":8,""memory_type"":""GDDR6"",""slot_interface"":""PCIe 4.0 x8""}","{""base_performance_score"":58,""base_power_watts"":115,""base_heat_score"":35,""base_reliability_score"":78,""used_demand_score"":78,""mining_popularity_score"":25,""depreciation_rate"":8}",,
GPU,GPU,Maxsun,maxsun,RTX 4060 Ti iCraft OC White,Maxsun RTX 4060 Ti iCraft OC White,maxsun-rtx-4060-ti-icraft-oc-white,nvidia,Trung Quốc,CN,8GB GDDR6 | Vỏ Trắng Phong Cách Anime,PCIe 4.0 x8,160,Manual curated sheet,,MANUAL,,,,,65,160,45,78,75,35,8,"{""raw_key_specs"":""8GB GDDR6 | Vỏ Trắng Phong Cách Anime"",""socket_slot"":""PCIe 4.0 x8"",""power_watts"":160,""vram_gb"":8,""memory_type"":""GDDR6"",""slot_interface"":""PCIe 4.0 x8""}","{""base_performance_score"":65,""base_power_watts"":160,""base_heat_score"":45,""base_reliability_score"":78,""used_demand_score"":75,""mining_popularity_score"":35,""depreciation_rate"":8}",,
GPU,GPU,Galax,galax,RTX 4090 Hall of Fame (HOF),Galax RTX 4090 Hall of Fame (HOF),galax-rtx-4090-hall-of-fame-hof,nvidia,Hong Kong,HK,24GB GDDR6X | PCB Màu Trắng Chuyên Ép Xung,PCIe 4.0 x16,500,Manual curated sheet,,MANUAL,,,,,96,500,90,78,90,75,8,"{""raw_key_specs"":""24GB GDDR6X | PCB Màu Trắng Chuyên Ép Xung"",""socket_slot"":""PCIe 4.0 x16"",""power_watts"":500,""vram_gb"":24,""memory_type"":""GDDR6X"",""slot_interface"":""PCIe 4.0 x16""}","{""base_performance_score"":96,""base_power_watts"":500,""base_heat_score"":90,""base_reliability_score"":78,""used_demand_score"":90,""mining_popularity_score"":75,""depreciation_rate"":8}",,
GPU,GPU,Inno3D,inno3d,RTX 3060 Twin X2,Inno3D RTX 3060 Twin X2,inno3d-rtx-3060-twin-x2,nvidia,Hong Kong,HK,12GB GDDR6 | Bản 2 Quạt Giá Rẻ Tối Giản,PCIe 4.0 x16,170,Manual curated sheet,,MANUAL,,,,,55,170,50,78,85,70,8,"{""raw_key_specs"":""12GB GDDR6 | Bản 2 Quạt Giá Rẻ Tối Giản"",""socket_slot"":""PCIe 4.0 x16"",""power_watts"":170,""vram_gb"":12,""memory_type"":""GDDR6"",""slot_interface"":""PCIe 4.0 x16""}","{""base_performance_score"":55,""base_power_watts"":170,""base_heat_score"":50,""base_reliability_score"":78,""used_demand_score"":85,""mining_popularity_score"":70,""depreciation_rate"":8}",,
GPU,GPU,Peladn,peladn,RTX 3060 Ti Gaming,Peladn RTX 3060 Ti Gaming,peladn-rtx-3060-ti-gaming,nvidia,Trung Quốc,CN,8GB GDDR6 | Card Giá Rẻ Nội Địa,PCIe 4.0 x16,200,Manual curated sheet,,MANUAL,,,,,62,200,55,60,87,65,13,"{""raw_key_specs"":""8GB GDDR6 | Card Giá Rẻ Nội Địa"",""socket_slot"":""PCIe 4.0 x16"",""power_watts"":200,""vram_gb"":8,""memory_type"":""GDDR6"",""slot_interface"":""PCIe 4.0 x16""}","{""base_performance_score"":62,""base_power_watts"":200,""base_heat_score"":55,""base_reliability_score"":60,""used_demand_score"":87,""mining_popularity_score"":65,""depreciation_rate"":13}",,
GPU,GPU,AISURIX,aisurix,RX 580 8GB,AISURIX RX 580 8GB,aisurix-rx-580-8gb,amd,Trung Quốc,CN,8GB GDDR5 | Card Cỏ Tái Chế Giá Siêu Rẻ,PCIe 3.0 x16,185,Manual curated sheet,,MANUAL,,,,,34,185,65,48,83,55,23,"{""raw_key_specs"":""8GB GDDR5 | Card Cỏ Tái Chế Giá Siêu Rẻ"",""socket_slot"":""PCIe 3.0 x16"",""power_watts"":185,""vram_gb"":8,""memory_type"":""GDDR5"",""slot_interface"":""PCIe 3.0 x16""}","{""base_performance_score"":34,""base_power_watts"":185,""base_heat_score"":65,""base_reliability_score"":48,""used_demand_score"":83,""mining_popularity_score"":55,""depreciation_rate"":23}",,
Mainboard,MOTHERBOARD,ASUS,asus,ROG MAXIMUS Z890 HERO,ASUS ROG MAXIMUS Z890 HERO,asus-rog-maximus-z890-hero,intel,Đài Loan,TW,Chipset Z890 | ATX | Hỗ trợ Thunderbolt 4,LGA1851 (DDR5),0,Manual curated sheet,,MANUAL,,,,,80,0,25,88,65,0,10,"{""raw_key_specs"":""Chipset Z890 | ATX | Hỗ trợ Thunderbolt 4"",""socket_slot"":""LGA1851 (DDR5)"",""power_watts"":0,""chipset"":""Z890"",""form_factor"":""ATX"",""socket"":""LGA1851"",""memory_type"":""DDR5""}","{""base_performance_score"":80,""base_power_watts"":0,""base_heat_score"":25,""base_reliability_score"":88,""used_demand_score"":65,""mining_popularity_score"":0,""depreciation_rate"":10}",,
Mainboard,MOTHERBOARD,ASUS,asus,TUF GAMING B760M-PLUS,ASUS TUF GAMING B760M-PLUS,asus-tuf-gaming-b760m-plus,intel,Đài Loan,TW,Chipset B760 | M-ATX | Bền Bỉ Tầm Trung,LGA1700 (DDR5),0,Manual curated sheet,,MANUAL,,,,,65,0,25,88,65,0,10,"{""raw_key_specs"":""Chipset B760 | M-ATX | Bền Bỉ Tầm Trung"",""socket_slot"":""LGA1700 (DDR5)"",""power_watts"":0,""chipset"":""B760"",""form_factor"":""M-ATX"",""socket"":""LGA1700"",""memory_type"":""DDR5""}","{""base_performance_score"":65,""base_power_watts"":0,""base_heat_score"":25,""base_reliability_score"":88,""used_demand_score"":65,""mining_popularity_score"":0,""depreciation_rate"":10}",,
Mainboard,MOTHERBOARD,MSI,msi,MEG X870E GODLIKE,MSI MEG X870E GODLIKE,msi-meg-x870e-godlike,amd,Đài Loan,TW,Chipset X870E | E-ATX | Màn Hình LED Cảm Ứng,AM5 (DDR5),0,Manual curated sheet,,MANUAL,,,,,80,0,25,88,65,0,10,"{""raw_key_specs"":""Chipset X870E | E-ATX | Màn Hình LED Cảm Ứng"",""socket_slot"":""AM5 (DDR5)"",""power_watts"":0,""chipset"":""X870E"",""form_factor"":""E-ATX"",""socket"":""AM5"",""memory_type"":""DDR5""}","{""base_performance_score"":80,""base_power_watts"":0,""base_heat_score"":25,""base_reliability_score"":88,""used_demand_score"":65,""mining_popularity_score"":0,""depreciation_rate"":10}",,
Mainboard,MOTHERBOARD,MSI,msi,MAG B650 TOMAHAWK WIFI,MSI MAG B650 TOMAHAWK WIFI,msi-mag-b650-tomahawk-wifi,amd,Đài Loan,TW,Chipset B650 | ATX | Bo Mạch Quốc Dân,AM5 (DDR5),0,Manual curated sheet,,MANUAL,,,,,65,0,25,88,65,0,10,"{""raw_key_specs"":""Chipset B650 | ATX | Bo Mạch Quốc Dân"",""socket_slot"":""AM5 (DDR5)"",""power_watts"":0,""chipset"":""B650"",""form_factor"":""ATX"",""socket"":""AM5"",""memory_type"":""DDR5""}","{""base_performance_score"":65,""base_power_watts"":0,""base_heat_score"":25,""base_reliability_score"":88,""used_demand_score"":65,""mining_popularity_score"":0,""depreciation_rate"":10}",,
Mainboard,MOTHERBOARD,GIGABYTE,gigabyte,B650M AORUS ELITE,GIGABYTE B650M AORUS ELITE,gigabyte-b650m-aorus-elite,amd,Đài Loan,TW,Chipset B650 | M-ATX | Phân Khúc Tầm Trung,AM5 (DDR5),0,Manual curated sheet,,MANUAL,,,,,65,0,25,88,65,0,10,"{""raw_key_specs"":""Chipset B650 | M-ATX | Phân Khúc Tầm Trung"",""socket_slot"":""AM5 (DDR5)"",""power_watts"":0,""chipset"":""B650"",""form_factor"":""M-ATX"",""socket"":""AM5"",""memory_type"":""DDR5""}","{""base_performance_score"":65,""base_power_watts"":0,""base_heat_score"":25,""base_reliability_score"":88,""used_demand_score"":65,""mining_popularity_score"":0,""depreciation_rate"":10}",,
Mainboard,MOTHERBOARD,ASRock,asrock,Z890 Taichi,ASRock Z890 Taichi,asrock-z890-taichi,intel,Đài Loan,TW,Chipset Z890 | ATX | Thiết Kế Bánh Răng Cơ Khí,LGA1851 (DDR5),0,Manual curated sheet,,MANUAL,,,,,80,0,25,88,65,0,10,"{""raw_key_specs"":""Chipset Z890 | ATX | Thiết Kế Bánh Răng Cơ Khí"",""socket_slot"":""LGA1851 (DDR5)"",""power_watts"":0,""chipset"":""Z890"",""form_factor"":""ATX"",""socket"":""LGA1851"",""memory_type"":""DDR5""}","{""base_performance_score"":80,""base_power_watts"":0,""base_heat_score"":25,""base_reliability_score"":88,""used_demand_score"":65,""mining_popularity_score"":0,""depreciation_rate"":10}",,
Mainboard,MOTHERBOARD,Colorful,colorful,CVN B760M FROZEN WIFI,Colorful CVN B760M FROZEN WIFI,colorful-cvn-b760m-frozen-wifi,intel,Trung Quốc,CN,Chipset B760 | M-ATX | PCB Màu Trắng Tuyết,LGA1700 (DDR4),0,Manual curated sheet,,MANUAL,,,,,65,0,25,78,65,0,10,"{""raw_key_specs"":""Chipset B760 | M-ATX | PCB Màu Trắng Tuyết"",""socket_slot"":""LGA1700 (DDR4)"",""power_watts"":0,""chipset"":""B760"",""form_factor"":""M-ATX"",""socket"":""LGA1700"",""memory_type"":""DDR4""}","{""base_performance_score"":65,""base_power_watts"":0,""base_heat_score"":25,""base_reliability_score"":78,""used_demand_score"":65,""mining_popularity_score"":0,""depreciation_rate"":10}",,
Mainboard,MOTHERBOARD,Maxsun,maxsun,MS-Terminator B760M GIGA,Maxsun MS-Terminator B760M GIGA,maxsun-ms-terminator-b760m-giga,intel,Trung Quốc,CN,Chipset B760 | M-ATX | Vua Phá Giá Phân Khúc,LGA1700 (DDR4),0,Manual curated sheet,,MANUAL,,,,,65,0,25,78,65,0,10,"{""raw_key_specs"":""Chipset B760 | M-ATX | Vua Phá Giá Phân Khúc"",""socket_slot"":""LGA1700 (DDR4)"",""power_watts"":0,""chipset"":""B760"",""form_factor"":""M-ATX"",""socket"":""LGA1700"",""memory_type"":""DDR4""}","{""base_performance_score"":65,""base_power_watts"":0,""base_heat_score"":25,""base_reliability_score"":78,""used_demand_score"":65,""mining_popularity_score"":0,""depreciation_rate"":10}",,
Mainboard,MOTHERBOARD,Huananzhi,huananzhi,X99-F8,Huananzhi X99-F8,huananzhi-x99-f8,intel,Trung Quốc,CN,Chipset X99 | ATX | Chuyên Chạy CPU Xeon Cũ,LGA2011-3 (DDR3),0,Manual curated sheet,,MANUAL,,,,,40,0,25,48,73,0,10,"{""raw_key_specs"":""Chipset X99 | ATX | Chuyên Chạy CPU Xeon Cũ"",""socket_slot"":""LGA2011-3 (DDR3)"",""power_watts"":0,""chipset"":""X99"",""form_factor"":""ATX"",""socket"":""LGA2011-3"",""memory_type"":""DDR3""}","{""base_performance_score"":40,""base_power_watts"":0,""base_heat_score"":25,""base_reliability_score"":48,""used_demand_score"":73,""mining_popularity_score"":0,""depreciation_rate"":10}",,
Mainboard,MOTHERBOARD,Machinist,machinist,X99 RS9,Machinist X99 RS9,machinist-x99-rs9,intel,Trung Quốc,CN,Chipset X99 | M-ATX | Bo Mạch Giá Rẻ Cày Giả Lập,LGA2011-3 (DDR3),0,Manual curated sheet,,MANUAL,,,,,40,0,25,48,73,0,10,"{""raw_key_specs"":""Chipset X99 | M-ATX | Bo Mạch Giá Rẻ Cày Giả Lập"",""socket_slot"":""LGA2011-3 (DDR3)"",""power_watts"":0,""chipset"":""X99"",""form_factor"":""M-ATX"",""socket"":""LGA2011-3"",""memory_type"":""DDR3""}","{""base_performance_score"":40,""base_power_watts"":0,""base_heat_score"":25,""base_reliability_score"":48,""used_demand_score"":73,""mining_popularity_score"":0,""depreciation_rate"":10}",,
RAM,RAM,Corsair,corsair,Dominator Titanium RGB 32GB,Corsair Dominator Titanium RGB 32GB,corsair-dominator-titanium-rgb-32gb,,Mỹ,US,2x16GB | DDR5 | 7200MHz | LED Cao Cấp,DDR5 Slot,5,Manual curated sheet,,MANUAL,,,,,95,5,35,88,65,0,10,"{""raw_key_specs"":""2x16GB | DDR5 | 7200MHz | LED Cao Cấp"",""socket_slot"":""DDR5 Slot"",""power_watts"":5,""module_count"":2,""module_capacity_gb"":16,""capacity_gb"":32,""kit_config"":""2x16GB"",""memory_type"":""DDR5"",""speed_mhz"":7200,""memory_slot"":""DDR5 Slot""}","{""base_performance_score"":95,""base_power_watts"":5,""base_heat_score"":35,""base_reliability_score"":88,""used_demand_score"":65,""mining_popularity_score"":0,""depreciation_rate"":10}",,
